"RunDate","GuestId","GroupId","GroupDisplayName","IsTeam","Visibility"
"2026-04-01","67a9f990-a05b-e84e-3c17-8d9ed64f6b65","2dd42412-8e1d-499f-28d1-634de7dba26b","Legal Review","True","Private"
"2026-04-01","67a9f990-a05b-e84e-3c17-8d9ed64f6b65","ff038440-e1b5-05f2-fa89-230c81477df9","Localization","False","Public"
"2026-04-01","a7904480-073a-9e17-7a77-8a169ba405ad","67144534-f1f0-f082-9d87-e77c126a1712","Project Northwind","True","Public"
"2026-04-01","a7904480-073a-9e17-7a77-8a169ba405ad","07722e90-0767-d14a-2223-401315e5f084","Platform Upgrade","False","Private"
"2026-04-01","c7b3bf13-7660-794d-c863-e6350633715f","2896bc2b-a091-7b53-7c00-8591e1c92cdc","Budget Planning","True","Public"
"2026-04-01","a02b96fa-eed6-ce68-6f07-ae284a76274e","18ae3bfd-9272-0f80-8053-d7d316a43437","Field Enablement","True","Public"
"2026-04-01","a02b96fa-eed6-ce68-6f07-ae284a76274e","86651eb6-4981-bfac-0166-a4efecd0b5cb","Incident Response","False","Private"
"2026-04-01","a02b96fa-eed6-ce68-6f07-ae284a76274e","0aa4837a-e766-d5e4-2c5f-8bf8269f3eba","Sustainability","False","Private"
"2026-04-01","a35d431e-0643-0355-f718-ee18c51c9bbf","1b1aaa8a-f7c5-195a-4d54-15dfdf83c2ae","Design Partners","True","Private"
"2026-04-01","a35d431e-0643-0355-f718-ee18c51c9bbf","0aa4837a-e766-d5e4-2c5f-8bf8269f3eba","Sustainability","False","Private"
"2026-04-01","a35d431e-0643-0355-f718-ee18c51c9bbf","86651eb6-4981-bfac-0166-a4efecd0b5cb","Incident Response","False","Private"
"2026-04-01","0ab03139-29b2-4be1-c6ce-c440bc7fba48","2514e638-341b-6388-65f0-416e1e7031cf","Project Sunfish","True","Private"
"2026-04-01","7fd125a7-29ec-51b4-e4f6-84a2facf791e","d4e91755-4515-5782-62a1-634ccb843309","Security Review","True","Private"
"2026-04-01","b7f3c38a-68a2-7f10-bbf9-0f9f42a07f26","2dd42412-8e1d-499f-28d1-634de7dba26b","Legal Review","True","Private"
"2026-04-01","b7f3c38a-68a2-7f10-bbf9-0f9f42a07f26","07722e90-0767-d14a-2223-401315e5f084","Platform Upgrade","False","Private"
"2026-04-01","7660dd0f-bbd8-cf76-8d5f-685ef3c160f3","d2543e93-e190-7283-c1cf-68042f5b6696","Vendor Onboarding","True","Private"
"2026-04-01","7660dd0f-bbd8-cf76-8d5f-685ef3c160f3","f2df3391-d03d-0c2c-6377-1b791b57e3bc","Brand Refresh","False","Public"
